Timestamp,Accel_X,Accel_Y,Accel_Z,Roll,Pitch,Yaw,UserAcc_X,UserAcc_Y,UserAcc_Z,RotRate_X,RotRate_Y,RotRate_Z,MagHeading,TrueHeading,HeadingAccuracy,MagX,MagY,MagZ
461772065.705682,-0.034485,-0.057999,-0.934052,-0.007764,0.186784,-1.411131,-0.006745,0.235718,-0.309720,0.264399,0.032522,0.168059,271.064331,272.158875,10.000000,24.411106,-5.536148,-32.390457
461772065.739025,-0.012024,-0.192307,-0.789185,-0.003244,0.206166,-1.404112,-0.020765,0.109311,0.118085,0.702991,0.238094,0.196203,270.611176,271.705719,10.000000,24.376698,-5.707581,-31.959606
461772065.772391,0.011353,-0.193481,-0.781296,0.002629,0.226549,-1.399585,-0.014586,0.032310,0.185259,0.550669,0.164573,0.090849,268.980713,270.075256,10.000000,24.067005,-6.359009,-31.197330
461772065.805786,-0.016861,-0.144592,-0.890762,0.000148,0.237156,-1.397818,0.014535,0.052444,0.161768,0.134936,-0.231386,0.051357,270.310913,271.405457,10.000000,23.929367,-6.427574,-31.329901
461772065.839230,-0.050247,-0.103317,-0.949249,-0.009043,0.234128,-1.393877,-0.008065,0.087403,0.081915,-0.190071,-0.240179,0.194144,271.380341,272.474884,10.000000,23.722900,-6.221855,-31.396187
461772065.871943,-0.020340,-0.110641,-0.945557,-0.013748,0.221039,-1.383572,-0.036834,0.115927,0.026329,-0.083050,0.099004,0.370923,272.256897,273.351440,10.000000,23.550854,-6.050430,-31.827038
461772065.905720,-0.008499,-0.156174,-0.918732,-0.008693,0.213331,-1.364821,0.000729,0.077714,0.038573,-0.028477,0.152405,0.312162,271.997070,273.091614,10.000000,23.413208,-5.707596,-31.296757
461772065.939269,-0.032135,-0.242126,-0.839142,-0.010334,0.214878,-1.357238,-0.018026,0.024965,0.115027,0.081431,-0.112717,0.171681,271.240936,272.335480,10.000000,23.241158,-5.947594,-31.329899
461772065.972407,-0.035706,-0.271515,-0.852295,-0.016613,0.215458,-1.352951,-0.017234,-0.047024,0.132383,-0.019722,-0.155608,0.099353,270.369110,271.463654,10.000000,22.828228,-6.084732,-31.197330
461772066.005515,-0.058929,-0.293930,-0.892883,-0.022889,0.220166,-1.350018,-0.025700,-0.069053,0.098469,-0.072306,-0.099054,0.072773,269.336151,270.430695,10.000000,22.208843,-6.701866,-31.528753
